feature_name,feature_type
bitcoin_close_topo_avg_hole_lifetime_1_x,topological
bitcoin_close_topo_avg_hole_lifetime_1_ma5_x,topological
bitcoin_close_topo_avg_hole_lifetime_1_y,topological
bitcoin_close_topo_avg_hole_lifetime_1_ma5_y,topological
bitcoin_close_topo_num_relevant_holes_1_x,topological
bitcoin_close_topo_num_relevant_holes_1_ma5_x,topological
bitcoin_close_topo_num_relevant_holes_1_y,topological
bitcoin_close_topo_num_relevant_holes_1_ma5_y,topological
bitcoin_close_topo_l1_norm_1_x,topological
bitcoin_close_topo_l1_norm_1_ma5_x,topological
bitcoin_close_topo_l1_norm_1_ma10_x,topological
bitcoin_close_topo_l1_norm_1_y,topological
bitcoin_close_topo_l1_norm_1_ma5_y,topological
bitcoin_close_topo_l1_norm_1_ma10_y,topological
bitcoin_close_topo_l2_norm_1_x,topological
bitcoin_close_topo_l2_norm_1_y,topological
signal,primary
